Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,media,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,BIOMATERIAL_PROVIDER
SRR10070513,Hi-C,302,61858878950,PRJNA564008,SAMN12697717,27462006182,ATMhTERT,Skin fibroblast,GEO,Control,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6804121,GSM4061345,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,"DMEM,15%FBS,1xNonessentialAA",Homo sapiens,ILLUMINA,2020-09-04T00:00:00Z,GSM4061345,ATMhTERT_Control,SRP220427,
SRR10070514,Hi-C,152,9244485720,PRJNA564008,SAMN12697716,3553509630,ATMhTERT,Skin fibroblast,GEO,Control,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6804122,GSM4061346,Illumina HiSeq 3000,PAIRED,other,GENOMIC,"DMEM,15%FBS,1xNonessentialAA",Homo sapiens,ILLUMINA,2020-09-04T00:00:00Z,GSM4061346,ATMhTERT_Control,SRP220427,
SRR10070515,Hi-C,302,54353334256,PRJNA564008,SAMN12697715,24734087921,ATMhTERT,Skin fibroblast,GEO,24hr,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6804105,GSM4061347,Illumina HiSeq 3000,PAIRED,other,GENOMIC,"DMEM,15%FBS,1xNonessentialAA",Homo sapiens,ILLUMINA,2020-09-04T00:00:00Z,GSM4061347,ATMhTERT_24hr,SRP220427,
SRR10070516,Hi-C,152,30185420080,PRJNA564008,SAMN12697714,11601979154,ATMhTERT,Skin fibroblast,GEO,24hr,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6804106,GSM4061348,Illumina HiSeq 3000,PAIRED,other,GENOMIC,"DMEM,15%FBS,1xNonessentialAA",Homo sapiens,ILLUMINA,2020-09-04T00:00:00Z,GSM4061348,ATMhTERT_24hr,SRP220427,
SRR10070517,Hi-C,102,39773042376,PRJNA564008,SAMN12697713,11620220561,ATMhTERT,Skin fibroblast,GEO,Recovery,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6804107,GSM4061349,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,"DMEM,15%FBS,1xNonessentialAA",Homo sapiens,ILLUMINA,2020-09-04T00:00:00Z,GSM4061349,ATMhTERT_Recovery,SRP220427,
SRR10070518,Hi-C,102,10066172940,PRJNA564008,SAMN12697712,2930798836,ATMhTERT,Skin fibroblast,GEO,Recovery,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6804108,GSM4061350,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,"DMEM,15%FBS,1xNonessentialAA",Homo sapiens,ILLUMINA,2020-09-04T00:00:00Z,GSM4061350,ATMhTERT_Recovery,SRP220427,
SRR10070519,Hi-C,152,37540830800,PRJNA564008,SAMN12697760,14556237844,BJ1,Foreskin fibroblast,GEO,Control,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6804109,GSM4061351,Illumina HiSeq 3000,PAIRED,other,GENOMIC,"4:1DMEM:Medium199,10%FBS, 0.01mgHygroB",Homo sapiens,ILLUMINA,2020-09-04T00:00:00Z,GSM4061351,BJ1_Control,SRP220427,
SRR10070520,Hi-C,152,35239752200,PRJNA564008,SAMN12697759,13549340657,BJ1,Foreskin fibroblast,GEO,30min,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6804110,GSM4061352,Illumina HiSeq 3000,PAIRED,other,GENOMIC,"4:1DMEM:Medium199,10%FBS, 0.01mgHygroB",Homo sapiens,ILLUMINA,2020-09-04T00:00:00Z,GSM4061352,BJ1_30min,SRP220427,
SRR10070521,Hi-C,152,31275540368,PRJNA564008,SAMN12697758,12188915323,BJ1,Foreskin fibroblast,GEO,24hr,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6804111,GSM4061353,Illumina HiSeq 3000,PAIRED,other,GENOMIC,"4:1DMEM:Medium199,10%FBS, 0.01mgHygroB",Homo sapiens,ILLUMINA,2020-09-04T00:00:00Z,GSM4061353,BJ1_24hr,SRP220427,
SRR10070522,Hi-C,102,18426327846,PRJNA564008,SAMN12697757,5339589396,BJ5ta,Foreskin fibroblast,GEO,Control,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6804112,GSM4061354,Illumina NovaSeq 6000,PAIRED,other,GENOMIC,"4:1DMEM:Medium199,10%FBS, 0.01mgHygroB",Homo sapiens,ILLUMINA,2020-09-04T00:00:00Z,GSM4061354,BJ5ta_Control,SRP220427,
